,time,Name,Str
0,源切换,response/mediamanager/MediaController/getSourceType,"{""addr"":""/response/mediamanager/MediaController/getSourceType"",""data"":{""code"":0,""data"":""XIMALAYA_MEDIA""},""from"":""mediamanager"",""requestId"":""202303091914266056870""}"
1,源切换,response/mediamanager/MediaController/getSourceType,"{""addr"":""/response/mediamanager/MediaController/getSourceType"",""data"":{""code"":0,""data"":""BT_MEDIA""},""from"":""mediamanager"",""requestId"":""202303091914266056870""}"
2,源切换,response/mediamanager/MediaController/getSourceType,"{""addr"":""/response/mediamanager/MediaController/getSourceType"",""data"":{""code"":0,""data"":""LOCAL_RADIO""},""from"":""mediamanager"",""requestId"":""202303091914266056870""}"
3,源切换,response/mediamanager/MediaController/getSourceType,"{""addr"":""/response/mediamanager/MediaController/getSourceType"",""data"":{""code"":0,""data"":""ONLINE_RADIO""},""from"":""mediamanager"",""requestId"":""202303091914266056870""}"
4,源切换,response/mediamanager/MediaController/getSourceType,"{""addr"":""/response/mediamanager/MediaController/getSourceType"",""data"":{""code"":0,""data"":""USB_MEDIA""},""from"":""mediamanager"",""requestId"":""202303091914266056870""}"
5,源切换,response/mediamanager/MediaController/getSourceType,"{""addr"":""/response/mediamanager/MediaController/getSourceType"",""data"":{""code"":0,""data"":""TENCENT_MEDIA""},""from"":""mediamanager"",""requestId"":""202303091914266056870""}"
6,播放状态,response/mediamanager/MediaController/getPlayState,"{""addr"":""/response/mediamanager/MediaController/getPlayState"",""data"":{""code"":0,""data"":1},""from"":""mediamanager"",""requestId"":""202303091914266076706""}"
7,播放状态,response/mediamanager/MediaController/getPlayState,"{""addr"":""/response/mediamanager/MediaController/getPlayState"",""data"":{""code"":0,""data"":0},""from"":""mediamanager"",""requestId"":""202303091914266076706""}"
8,播放列表,response/mediamanager/MediaController/getPlayList,"{""addr"":""/response/mediamanager/MediaController/getPlayList"",""data"":{""code"":0,""data"":[{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":550,""mMediaEndTime"":666,""mMediaId"":""524719334"",""mMediaName"":""第一章气死"",""mMediaQuality"":-1,""mMediaStartTime"":66,""mMediaTimeliness"":300,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/3932-audiofreehighqps/4D/DF/GKwRIaIGY_n1ACGWigFcjL7j.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":511,""mMediaEndTime"":-1,""mMediaId"":""524725138"",""mMediaName"":""第二章发烧"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/4e2c-audiofreehighqps/44/FD/GKwRIRwGZV01AB89uQFdUouM.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":489,""mMediaEndTime"":-1,""mMediaId"":""524731830"",""mMediaName"":""第三章开窍"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/a887-audiofreehighqps/5D/5C/GKwRIDoGZkooAB3nrwFdrlOI.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":460,""mMediaEndTime"":-1,""mMediaId"":""524737678"",""mMediaName"":""第四章偏心"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/cc12-audiofreehighqps/7F/EE/GKwRIUEGZ6PAABwe8wFeoTUM.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":445,""mMediaEndTime"":-1,""mMediaId"":""524744821"",""mMediaName"":""第五章营养"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/a2db-audiofreehighqps/D6/AF/GKwRIRwGaU4aABstUQFf23Tn.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":485,""mMediaEndTime"":-1,""mMediaId"":""524751610"",""mMediaName"":""第六章不良"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/ce71-audiofreehighqps/14/A2/GKwRIasGbO_-AB2c_QFiX64z.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":466,""mMediaEndTime"":-1,""mMediaId"":""524757431"",""mMediaName"":""第七章股窜"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/4066-audiofreehighqps/85/8D/GKwRIDoGblIQABxz2AFjYSmF.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":460,""mMediaEndTime"":-1,""mMediaId"":""524764167"",""mMediaName"":""第八章用力哭"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/5af4-audiofreehighqps/6C/D5/GKwRIRwGblivABwgLAFjZpdz.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":483,""mMediaEndTime"":-1,""mMediaId"":""524770584"",""mMediaName"":""第九章心虚"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/f8e4-audiofreehighqps/9D/E0/GKwRIJIGejS8AB19jwFpGRnU.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":458,""mMediaEndTime"":-1,""mMediaId"":""524777068"",""mMediaName"":""第十章釜底抽薪"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/d1d5-audiofreehighqps/AA/1F/GKwRIMAGOYhdABv5ZQFCLgbI.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":490,""mMediaEndTime"":-1,""mMediaId"":""524784942"",""mMediaName"":""第十一章都恨"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/6fd7-audiofreehighqps/F3/3D/GKwRIasGOY2uAB34AgFCMYbD.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":520,""mMediaEndTime"":-1,""mMediaId"":""524793145"",""mMediaName"":""第十二章内情"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/6743-audiofreehighqps/AC/44/GKwRIasGOZSFAB_IgAFCNbN6.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":547,""mMediaEndTime"":-1,""mMediaId"":""524807445"",""mMediaName"":""第十三章“好学”"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/bf7a-audiofreehighqps/DB/A9/GKwRIW4GOaBiACFvxAFCPTkn.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":487,""mMediaEndTime"":-1,""mMediaId"":""524813600"",""mMediaName"":""第十四章可以上学了"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/30bc-audiofreehighqps/1D/58/GKwRIJIGOaVJAB27MQFCQIuo.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":481,""mMediaEndTime"":-1,""mMediaId"":""524821841"",""mMediaName"":""第十五章掉链子"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/5d8e-audiofreehighqps/AF/11/GKwRIRwGOatoAB1c6AFCRSjY.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":498,""mMediaEndTime"":-1,""mMediaId"":""524830498"",""mMediaName"":""第十六章砸脚"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/1ca8-audiofreehighqps/10/EA/GKwRIUEGObCOAB5sVgFCSdDs.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":485,""mMediaEndTime"":-1,""mMediaId"":""524842967"",""mMediaName"":""第十七章游击战"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/f7f8-audiofreehighqps/5B/51/GKwRIW4GObfdAB2pPAFCUO91.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":482,""mMediaEndTime"":-1,""mMediaId"":""524854038"",""mMediaName"":""第十八章重视"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/7ad9-audiofreehighqps/BB/CB/GKwRINsGOby6AB1vrwFCVgEU.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":473,""mMediaEndTime"":-1,""mMediaId"":""524866040"",""mMediaName"":""第十九章搜身"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/21aa-audiofreehighqps/E4/95/GKwRINsGOcJOABzlUQFCXCbD.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1},{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":493,""mMediaEndTime"":-1,""mMediaId"":""524878324"",""mMediaName"":""第二十章迁怒"",""mMediaQuality"":-1,""mMediaStartTime"":-1,""mMediaTimeliness"":-1,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/f203-audiofreehighqps/64/73/GKwRIDoGOcfqAB4luQFCYm0O.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1}]},""from"":""mediamanager"",""requestId"":""202303091914266113688""}"
9,获取当前媒体,response/mediamanager/MediaController/getCurrentMedia,"{""addr"":""/response/mediamanager/MediaController/getCurrentMedia"",""data"":{""code"":0,""data"":{""mGroupId"":"""",""mMediaCollectionState"":-1,""mMediaCover"":""https://imagev2.xmcdn.com/storages/c31a-audiofreehighqps/53/44/GKwRIW4GOVG8AABhXgFCDIb2.jpg!op_type=3&amp;columns=320&amp;rows=320"",""mMediaDuration"":550,""mMediaEndTime"":999,""mMediaId"":""524719334"",""mMediaName"":""第一章气死"",""mMediaQuality"":-1,""mMediaStartTime"":6,""mMediaTimeliness"":333,""mMediaUrl"":""http://aod.cos.tx.xmcdn.com/storages/3932-audiofreehighqps/4D/DF/GKwRIaIGY_n1ACGWigFcjL7j.mp3"",""mSingerName"":""爱看小说的夏夏"",""mSourceType"":"""",""mVipState"":-1}},""from"":""mediamanager"",""requestId"":""202303091914266129660""}"
